StartPackingTime, EndPackingTime, TotalQuantity
10:45:05, 10:45:30, 3
10:45:15, 10:45:40, 3
10:45:08, 10:45:41, 1
10:45:19, 10:45:44, 400
10:45:30, 10:45:49, 1
10:45:31, 10:45:50, 1
10:45:20, 10:45:51, 2
10:45:32, 10:45:57, 2
10:45:34, 10:46:01, 1
10:45:23, 10:46:02, 2
10:45:10, 10:47:33, 500
10:45:21, 10:50:33, 4
10:45:03, 10:50:37, 1100
10:45:22, 10:50:41, 1
10:45:07, 10:51:03, 1062
10:45:33, 10:51:22, 13
10:45:27, 10:51:34, 10
10:45:24, 10:52:04, 30
10:45:04, 10:52:21, 122
10:45:40, 10:52:26, 6
10:45:28, 10:52:35, 20
10:45:39, 10:52:42, 2
10:45:35, 11:00:07, 38
11:00:07, 11:00:27, 1
11:00:12, 11:00:34, 1
11:00:14, 11:00:35, 960
11:00:09, 11:00:36, 102
11:00:19, 11:00:37, 100
11:00:15, 11:00:38, 1
11:00:21, 11:00:44, 2
11:00:05, 11:00:51, 10
11:00:29, 11:00:51, 1
11:00:25, 11:00:53, 500
11:00:24, 11:00:54, 200
11:00:13, 11:00:56, 9
11:00:43, 11:01:00, 250
11:00:23, 11:01:09, 10
11:00:20, 11:01:10, 11
11:00:22, 11:01:14, 12
11:00:36, 11:01:22, 10
11:00:26, 11:01:26, 510
11:00:56, 11:01:27, 5
11:01:05, 11:01:27, 2
11:01:09, 11:01:28, 1
11:00:50, 11:01:28, 400
11:00:37, 11:01:30, 5
10:45:06, 11:01:32, 287
11:01:11, 11:01:43, 5
11:00:48, 11:01:43, 4
10:45:36, 11:01:45, 32873
11:01:03, 11:01:46, 6
11:00:51, 11:01:46, 105
11:00:49, 11:01:47, 1
11:00:52, 11:01:56, 3
11:01:23, 11:02:01, 6
11:01:31, 11:02:05, 2000
11:01:44, 11:02:06, 2
11:00:30, 11:02:07, 25
11:00:35, 11:02:10, 20
11:01:26, 11:02:15, 2
11:01:46, 11:02:16, 5
11:01:21, 11:02:19, 14
11:01:27, 11:02:19, 1
11:00:46, 11:02:20, 8
11:00:59, 11:02:20, 3
11:01:47, 11:02:25, 7
11:00:57, 11:02:27, 10
11:01:02, 11:02:27, 2
11:00:11, 11:02:29, 36
10:45:18, 11:02:30, 408
11:01:28, 11:02:31, 1
11:01:41, 11:02:35, 1
11:01:20, 11:02:38, 17
11:01:40, 11:02:39, 6
11:00:32, 11:02:47, 20
11:00:58, 11:02:51, 25
11:00:28, 11:02:51, 2
11:01:42, 11:02:51, 3
11:00:16, 11:02:54, 45
11:01:45, 11:02:54, 1
11:00:47, 11:02:55, 1
11:01:57, 11:02:55, 1
11:01:50, 11:02:56, 16
11:00:33, 11:02:57, 40
11:01:24, 11:02:58, 10
11:01:01, 11:02:58, 2
11:01:51, 11:03:00, 1
11:01:52, 11:03:02, 2
11:01:25, 11:03:02, 1
11:01:06, 11:03:02, 1
11:01:56, 11:03:06, 1
11:00:27, 11:03:07, 4
11:01:55, 11:03:16, 5
11:01:19, 11:03:17, 34
11:01:33, 11:03:20, 20
11:01:04, 11:03:51, 50
11:01:17, 11:03:55, 1
11:01:48, 11:03:58, 20
11:01:18, 11:04:02, 2
