150359;802074687;10:39:12;12:15:31;-02:00:00
150360;269240407;10:59:23;12:4:46;-02:00:00
150362;277240143;10:50:39;13:26:31;-03:00:00
150375;7624801060;12:32:11;12:39:29;00:00:00
150375;7624801060;13:15:3;12:39:29;01:00:00
150378;3322060673;12:38:3;12:36:37;00:00:00
150378;3322060673;12:38:3;12:37:4;00:00:00
150378;3322060673;12:38:3;13:1:51;-01:00:00
150378;5418521037;12:38:3;12:36:37;00:00:00
150378;5418521037;12:38:3;12:37:4;00:00:00
150378;5418521037;12:38:3;13:1:51;-01:00:00
150378;7517901006;12:38:3;12:36:37;00:00:00
150378;7517901006;12:38:3;12:37:4;00:00:00
150378;7517901006;12:38:3;13:1:51;-01:00:00
150378;7517901019;12:38:3;12:36:37;00:00:00
150378;7517901019;12:38:3;12:37:4;00:00:00
150378;7517901019;12:38:3;13:1:51;-01:00:00
150378;7517902018;12:38:3;12:36:37;00:00:00
150378;7517902018;12:38:3;12:37:4;00:00:00
150378;7517902018;12:38:3;13:1:51;-01:00:00
150378;7522402710;12:38:3;12:36:37;00:00:00
150378;7522402710;12:38:3;12:37:4;00:00:00
150378;7522402710;12:38:3;13:1:51;-01:00:00
150378;7622205163;12:38:3;12:36:37;00:00:00
150378;7622205163;12:38:3;12:37:4;00:00:00
150378;7622205163;12:38:3;13:1:51;-01:00:00
150378;828100085;12:38:3;12:36:37;00:00:00
150378;828100085;12:38:3;12:37:4;00:00:00
150378;828100085;12:38:3;13:1:51;-01:00:00
150381;7613005356;11:14:52;12:37:57;-01:00:00
150387;5410513991;10:50:40;12:6:24;-02:00:00
150388;7517800136;10:40:5;12:18:14;-02:00:00
150391;886110156;10:36:28;12:10:6;-02:00:00
150392;2622814119;11:37:55;12:6:52;-01:00:00
150392;2622814119;11:37:55;12:7:18;-01:00:00
150392;2622814119;11:37:55;12:10:46;-01:00:00
150392;2622814119;11:37:55;12:35:10;-01:00:00
150392;7517807825;11:37:55;12:6:52;-01:00:00
150392;7517807825;11:37:55;12:7:18;-01:00:00
150392;7517807825;11:37:55;12:10:46;-01:00:00
150392;7517807825;11:37:55;12:35:10;-01:00:00
150392;7522001894;10:40:50;12:6:52;-02:00:00
150392;7522001894;10:40:50;12:7:18;-02:00:00
150392;7522001894;10:40:50;12:10:46;-02:00:00
150392;7522001894;10:40:50;12:35:10;-02:00:00
150392;7522001894;10:42:46;12:6:52;-02:00:00
150392;7522001894;10:42:46;12:7:18;-02:00:00
150392;7522001894;10:42:46;12:10:46;-02:00:00
150392;7522001894;10:42:46;12:35:10;-02:00:00
150392;7522001894;10:44:36;12:6:52;-02:00:00
150392;7522001894;10:44:36;12:7:18;-02:00:00
150392;7522001894;10:44:36;12:10:46;-02:00:00
150392;7522001894;10:44:36;12:35:10;-02:00:00
150392;7522001894;10:39:19;12:6:52;-02:00:00
150392;7522001894;10:39:19;12:7:18;-02:00:00
150392;7522001894;10:39:19;12:10:46;-02:00:00
150392;7522001894;10:39:19;12:35:10;-02:00:00
150392;7522001959;11:29:2;12:6:52;-01:00:00
150392;7522001959;11:29:2;12:7:18;-01:00:00
150392;7522001959;11:29:2;12:10:46;-01:00:00
150392;7522001959;11:29:2;12:35:10;-01:00:00
150392;7522002547;11:37:55;12:6:52;-01:00:00
150392;7522002547;11:37:55;12:7:18;-01:00:00
150392;7522002547;11:37:55;12:10:46;-01:00:00
150392;7522002547;11:37:55;12:35:10;-01:00:00
150392;7522019996;11:37:55;12:6:52;-01:00:00
150392;7522019996;11:37:55;12:7:18;-01:00:00
150392;7522019996;11:37:55;12:10:46;-01:00:00
150392;7522019996;11:37:55;12:35:10;-01:00:00
150392;7522020040;11:37:55;12:6:52;-01:00:00
150392;7522020040;11:37:55;12:7:18;-01:00:00
150392;7522020040;11:37:55;12:10:46;-01:00:00
150392;7522020040;11:37:55;12:35:10;-01:00:00
