Order Number at CW;Article Number;Order Line Number;Material;Material;Route;Route;Route Serial Number;Timestamp for Picking;Box number;Area;Station;Number of lots-white;Number of lots-Green;No. of picks;Quantity
150350;7921181014;1;1000010042;WDU2,5BL BLUE 102008 TERMINAL BLOCK;8C;8C;43;07:20:39;0;28;10;0;0;1;0
150352;997125085;1;1000642873;GAS ALLROUND 100ML;0U;0U;64;07:20:39;0;27;8;0;0;1;0
150353;5417575246;1;1000518639;SURFACE MOUNTED BOX 1M WHITE;0R;0R;88;07:20:39;0;28;16;0;0;1;0
150359;802074687;2;1000388512;3/8?X1/2? FITTING CHROME;E3;E3;Not assigned;10:39:12;200062049;28;16;1;1;1;2
150360;269240407;1;1000507798;ACTUATOR PLATE OMEGA20;E1;E1;Not assigned;10:59:23;200024262;27;16;1;0;1;1
150362;277240143;1;1000386929;TRIO DISPENSER CHROME;W1;W1;Not assigned;10:50:39;200072001;28;16;0;1;1;1
150369;828105080;1;1000664377;PLUG W/ EARTH WTHIE 16A DANISCH;9H;9H;Not assigned;10:40:11;200078425;28;23;0;1;1;30
150375;7624801060;1;1000475251;TROJAN 5 FLEXAKTUAT 2NC/1NO;5E;5E;48;12:32:11;200012625;27;16;0;2;1;55
150375;7624801060;2;1000475251;TROJAN 5 FLEXAKTUAT 2NC/1NO;5E;5E;48;13:15:03;200064757;27;16;0;2;1;35
150376;822102720;1;1000389835;MCB 1P+N C13A  6KA;9J;9J;Not assigned;12:20:40;0;25;23;0;1;1;1.000
150378;3322060673;3;1000418946;MCB IC60N 1P 2A C;9P;9P;Not assigned;12:38:03;200014326;28;23;0;1;1;1
150378;5418521037;2;1000428828;PMS 6H 16A 5P 400V IP44 75X75 QC SCH;9P;9P;Not assigned;12:38:03;200014326;28;23;0;1;1;2
150378;7517901006;6;1000080821;PUSHBUTTON OPERATOR HEAD ZB5AA1;9P;9P;Not assigned;12:38:03;200014326;29;23;0;1;1;1
150378;7517901019;7;1000018089;PUSHBUTTON OPERATOR HEAD ZB5AA2;9P;9P;Not assigned;12:38:03;200014326;28;23;0;1;1;1
150378;7517902018;8;1000044310;CONTACT BLOCK 1 NC;9P;9P;Not assigned;12:38:03;200014326;29;23;0;1;1;1
